outcome,scene_id,query_idx,gt_id,pred_id_4b,iou_4b,pred_id_2b,iou_2b,query,image
2B_wins,scene0063_00,1,13,37,0.073,1,0.982,a modern light wood color table placed against the wall. it is to the left of the tv on the wall.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0063_00/1/rendered.png
2B_wins,scene0064_00,4,10,21,0.002,23,0.266,"it is a brown wooden square shelf. divided on squares, on the side of the wall.",outputs/scanrefer_qwen3vl_4b/projection_img/scene0064_00/4/rendered.png
2B_wins,scene0077_00,0,9,1,0.0,7,1.0,a brown door. an open door.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0077_00/0/rendered.png
2B_wins,scene0084_00,0,10,18,0.0,11,1.0,this is a round trash can. it is under the counter top.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0084_00/0/rendered.png
2B_wins,scene0100_00,3,8,32,0.0,42,1.0,"the step stool is blue and white and, plastic. the stool is in front of the tub.",outputs/scanrefer_qwen3vl_4b/projection_img/scene0100_00/3/rendered.png
2B_wins,scene0153_00,0,1,27,0.051,2,0.707,this is a sink. the sink is attached close to wall.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0153_00/0/rendered.png
2B_wins,scene0153_00,1,2,24,0.0,27,0.941,the small bathroom cabinet. the cabinet is next to the towel.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0153_00/1/rendered.png
2B_wins,scene0164_00,2,43,66,0.0,3,0.888,there is a microwave on a counter top. it is in the corner.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0164_00/2/rendered.png
2B_wins,scene0196_00,2,12,27,0.0,14,0.843,the little armchair. the hair is under the table in the middle on the right.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0196_00/2/rendered.png
2B_wins,scene0203_00,2,14,74,0.0,40,0.976,this is a white pillow on a bean bag. it is square shaped.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0203_00/2/rendered.png
2B_wins,scene0207_00,4,65,97,0.0,77,0.837,there is a white plastic bath tub. placed on the side of the bathroom.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0207_00/4/rendered.png
2B_wins,scene0208_00,4,106,187,0.0,102,0.564,there are some bookshelves full of books. they are to the right of the bench.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0208_00/4/rendered.png
2B_wins,scene0221_00,0,4,43,0.0,35,0.935,the office chair is left of the hexagonal table. the office chair is black and has armrests.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0221_00/0/rendered.png
2B_wins,scene0222_00,0,6,32,0.0,11,0.865,the desk chair is brown with a blue cushion. it goes with the brown desk in the image.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0222_00/0/rendered.png
2B_wins,scene0222_00,3,28,91,0.0,4,0.457,the window has blinds on it. it is to the right of the bed in the room.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0222_00/3/rendered.png
2B_wins,scene0256_00,0,0,23,0.0,3,0.975,there is a white table. it is near the side of the room and has a sewing machine on it.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0256_00/0/rendered.png
2B_wins,scene0257_00,3,17,22,0.0,21,0.6,there is a black chair. it is the second chair from the right in the first row of chairs.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0257_00/3/rendered.png
2B_wins,scene0314_00,1,0,8,0.0,7,0.983,this piece of furniture is brown with oval holes. it is behind a black rolling chair.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0314_00/1/rendered.png
2B_wins,scene0314_00,3,8,4,0.0,5,1.0,the office chair is the southeastern-most one next to the round table. the office chair is brown and has five legs.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0314_00/3/rendered.png
2B_wins,scene0328_00,2,16,28,0.0,8,0.341,"a dark brown wooden wall cabinet, in the corner of the room. it is located above and to the left of the stove.",outputs/scanrefer_qwen3vl_4b/projection_img/scene0328_00/2/rendered.png
2B_wins,scene0334_00,3,7,5,0.0,7,0.916,there is a brown wooden bench. placed in the middle of the room.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0334_00/3/rendered.png
2B_wins,scene0342_00,4,25,21,0.133,13,1.0,it is one of the brown chairs that are connected together. it is located at the very back of the room from the right side wall it will be the second chair to your left at the top row.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0342_00/4/rendered.png
2B_wins,scene0353_00,4,47,31,0.0,27,0.889,it is a bed above a brown desk. the bed is made from wood.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0353_00/4/rendered.png
2B_wins,scene0354_00,0,3,3,0.0,21,1.0,this is a black chair. it is to the left of a red chair.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0354_00/0/rendered.png
2B_wins,scene0354_00,1,4,24,0.0,22,1.0,there is a black arm chair. placed in front of the table.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0354_00/1/rendered.png
2B_wins,scene0355_00,4,15,11,0.0,7,1.0,the table is brown and round. it is on the right side of the room.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0355_00/4/rendered.png
2B_wins,scene0377_00,4,18,9,0.0,0,0.868,there is a window. placed on the corner of the wall.,outputs/scanrefer_qwen3vl_4b/projection_img/scene0377_00/4/rendered.png
